Date,File Name,Dataset,CRS,Bounds,Path
2026-02-26 23:13,Area_S2_2025-10-05_RGB_20260226_2313,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"[13.31, 123.40] to [13.32, 123.43]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_S2_2025-10-05_RGB_20260226_2313\Area_S2_2025-10-05_RGB_20260226_2313
2026-02-26 23:30,Area_S2_2025-11-29_RGB_20260226_2329,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"[12.69, 123.99] to [12.73, 124.03]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_S2_2025-11-29_RGB_20260226_2329\Area_S2_2025-11-29_RGB_20260226_2329
2026-02-28 16:03,Area_S2_2025-11-07_RGB_20260228_1549,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"[11.60, 119.79] to [12.54, 120.46]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_S2_2025-11-07_RGB_20260228_1549\Area_S2_2025-11-07_RGB_20260228_1549
2026-02-28 22:52,Area_S2_2025-09-03_RGB_20260228_2244,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"[-29.69, 22.71] to [-29.37, 23.16]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_S2_2025-09-03_RGB_20260228_2244\Area_S2_2025-09-03_RGB_20260228_2244
2026-02-28 22:56,Area_S2_2025-09-03_RGB_20260228_2256,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"[-29.47, 22.83] to [-29.47, 22.83]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_S2_2025-09-03_RGB_20260228_2256\Area_S2_2025-09-03_RGB_20260228_2256
2026-03-01 08:29,Area_L89_2025-09-03_RGB_20260301_0829,Landsat 8/9 (Surface Reflectance),EPSG:4326,"[13.31, 123.40] to [13.32, 123.43]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_L89_2025-09-03_RGB_20260301_0829\Area_L89_2025-09-03_RGB_20260301_0829
2026-03-01 10:31,Area_S2_2025-11-29_RGB_20260301_1031,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"[12.69, 123.99] to [12.73, 124.03]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_S2_2025-11-29_RGB_20260301_1031\Area_S2_2025-11-29_RGB_20260301_1031
2025-04-01,TS_S2_2025-01-01_RGB_20260301_1330_2025-04-01.tif,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"[13.31, 123.40]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1330\Data_2025-04-01\TS_S2_2025-01-01_RGB_20260301_1330_2025-04-01.tif
2025-05-31,TS_S2_2025-01-01_RGB_20260301_1330_2025-05-31.tif,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"[13.31, 123.40]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1330\Data_2025-05-31\TS_S2_2025-01-01_RGB_20260301_1330_2025-05-31.tif
2025-07-30,TS_S2_2025-01-01_RGB_20260301_1330_2025-07-30.tif,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"[13.31, 123.40]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1330\Data_2025-07-30\TS_S2_2025-01-01_RGB_20260301_1330_2025-07-30.tif
2025-09-28,TS_S2_2025-01-01_RGB_20260301_1330_2025-09-28.tif,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"[13.31, 123.40]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1330\Data_2025-09-28\TS_S2_2025-01-01_RGB_20260301_1330_2025-09-28.tif
2025-11-27,TS_S2_2025-01-01_RGB_20260301_1330_2025-11-27.tif,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"[13.31, 123.40]",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1330\Data_2025-11-27\TS_S2_2025-01-01_RGB_20260301_1330_2025-11-27.tif
2025-04-01,[TS_S2_2025-01-01_RGB_20260301_1352] 2025-04-01,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(12.27, 122.42)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1352\Data_2025-04-01\TS_S2_2025-01-01_RGB_20260301_1352_2025-04-01.tif
2025-05-31,[TS_S2_2025-01-01_RGB_20260301_1352] 2025-05-31,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(12.27, 122.42)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1352\Data_2025-05-31\TS_S2_2025-01-01_RGB_20260301_1352_2025-05-31.tif
2025-07-30,[TS_S2_2025-01-01_RGB_20260301_1352] 2025-07-30,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(12.27, 122.42)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1352\Data_2025-07-30\TS_S2_2025-01-01_RGB_20260301_1352_2025-07-30.tif
